Matheus Cardoso||25||Porto Alegre||Solteiro(a)
Matheus Silva||23||Canoas||Solteiro(a)
Matheus Duarte||20||Sapucaia do Sul||Casado(a)
Lucia Silva||29||Sapucaia do Sul||Solteiro(a)
Lucia Silva||25||Guaíba||Solteiro(a)
Matheus Fernandes||27||Guaíba||Solteiro(a)
Rafaela Cardoso||25||Canoas||Casado(a)
Virgínia Rosa||20||São Leopoldo||Casado(a)
Gean Correia||28||Eldorado do Sul||Casado(a)
Lucia Correia||29||Cachoeirinha||Casado(a)
Fernando Cardoso||24||Cachoeirinha||Solteiro(a)
Gean Fagundes||27||Porto Alegre||Solteiro(a)
